grid_id,c_bar,c_hat,r_alignment,n_weeks,poi_cnt_life,poi_cnt_transport,poi_cnt_economy,poi_cnt_public_service,poi_cnt_life_scarcity_abs,poi_cnt_transport_scarcity_abs,poi_cnt_economy_scarcity_abs,poi_cnt_public_service_scarcity_abs,poi_cnt_life_scarcity_q,poi_cnt_transport_scarcity_q,poi_cnt_economy_scarcity_q,poi_cnt_public_service_scarcity_q,priority_abs_1,priority_abs_2,priority_q_1,priority_q_2,priority_q_1_scarcity_score,gate_r_ok,gate_weeks_ok,gate_cbar_ok,gate_scarcity_ok,is_actionable,action_tier,priority_reason
3256_47013,22919.65096654648,23518.5753806508,-598.9244141043237,13,1.0,0.0,0.0,0.0,0.82,0.485,0.45,0.505,0.18000000000000005,0.515,0.55,0.495,life,public_service,economy,transport,0.55,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3129_46988,18992.49891075721,19636.53156154551,-644.0326507883001,13,0.0,0.0,0.0,0.0,0.355,0.485,0.45,0.505,0.645,0.515,0.55,0.495,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3208_46975,18813.42462940705,19636.53156154551,-823.1069321384603,13,0.0,0.0,0.0,0.0,0.355,0.485,0.45,0.505,0.645,0.515,0.55,0.495,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3170_46902,18782.10740935497,19636.53156154551,-854.4241521905424,13,0.0,0.0,0.0,0.0,0.355,0.485,0.45,0.505,0.645,0.515,0.55,0.495,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3126_47008,18657.494365985574,19636.53156154551,-979.037195559933,13,0.0,0.0,0.0,0.0,0.355,0.485,0.45,0.505,0.645,0.515,0.55,0.495,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3049_46756,18358.211569761617,19636.53156154551,-1278.3199917838938,13,0.0,0.0,0.0,0.0,0.355,0.485,0.45,0.505,0.645,0.515,0.55,0.495,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3308_46893,18218.4655073117,19636.53156154551,-1418.066054233812,13,0.0,0.0,0.0,0.0,0.355,0.485,0.45,0.505,0.645,0.515,0.55,0.495,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3375_47015,17799.70759465144,19636.53156154551,-1836.8239668940696,13,0.0,0.0,0.0,0.0,0.355,0.485,0.45,0.505,0.645,0.515,0.55,0.495,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3156_47014,17497.820337540066,19636.53156154551,-2138.711224005445,13,0.0,0.0,0.0,0.0,0.355,0.485,0.45,0.505,0.645,0.515,0.55,0.495,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3222_46975,17400.19444861779,19636.53156154551,-2236.337112927722,13,0.0,0.0,0.0,0.0,0.355,0.485,0.45,0.505,0.645,0.515,0.55,0.495,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
