grid_id,c_bar,c_hat,r_alignment,n_weeks,poi_cnt_life,poi_cnt_transport,poi_cnt_economy,poi_cnt_public_service,priority_abs_1,priority_abs_2,priority_q_1,priority_q_2,priority_q_1_scarcity_score,gate_r_ok,gate_weeks_ok,gate_cbar_ok,gate_scarcity_ok,is_actionable,action_tier,priority_reason
3239_46940,2243.6997500241423,3044.374541510608,-800.6747914864659,31,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3402_47015,2238.218260446983,3044.374541510608,-806.1562810636251,31,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3364_46982,2227.7581782052634,3044.374541510608,-816.6163633053447,31,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3294_46886,2940.227215629042,3767.0945717658183,-826.8673561367768,31,1.0,0.0,0.0,0.0,life,public_service,economy,transport,0.55,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3362_46978,2212.760658771364,3044.374541510608,-831.6138827392442,31,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3238_46925,2210.16404205583,3044.374541510608,-834.2104994547781,31,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3222_46983,2913.0964307500067,3767.0945717658183,-853.998141015812,31,1.0,0.0,0.0,0.0,life,public_service,economy,transport,0.55,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3307_46896,2884.344829941237,3767.0945717658183,-882.7497418245812,31,1.0,0.0,0.0,0.0,life,public_service,economy,transport,0.55,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3052_46754,2880.4068919948563,3767.0945717658183,-886.6876797709624,31,1.0,0.0,0.0,0.0,life,public_service,economy,transport,0.55,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3246_46910,2091.009273560944,3044.374541510608,-953.365267949664,31,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3206_46983,2083.7241125685155,3044.374541510608,-960.6504289420928,31,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3321_46887,2801.782975269778,3767.0945717658183,-965.3115964960408,31,1.0,0.0,0.0,0.0,life,public_service,economy,transport,0.55,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3238_47003,2777.6525937288307,3767.0945717658183,-989.441978036988,31,1.0,0.0,0.0,0.0,life,public_service,economy,transport,0.55,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3244_46887,2021.1744223784924,3044.374541510608,-1023.2001191321158,31,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3238_46934,1992.0917541571755,3044.374541510608,-1052.282787353433,31,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3299_46914,2560.006113081951,3767.0945717658183,-1207.088458683868,31,1.0,0.0,0.0,0.0,life,public_service,economy,transport,0.55,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3190_46978,1691.758303300085,3044.374541510608,-1352.6162382105235,31,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
